Studio,City,Country,Latitude,Longitude
Crosby,Stockholm,Sweden,59.3325765,18.0649033
Creative Assembly,Sofia,Bulgaria,42.6975135,23.3241463
Amazon Game Studios,Seattle,United States,47.6062095,-122.3320694
Retro Studios,Austin,United States,30.267153,-97.7430573
Infinity Ward,Austin,United States,30.267153,-97.7430573
Boulder Media,Dublin,Ireland,53.3330556,-6.248889
Blastaway Studios,Barcelona,Spain,41.3887869,2.1589851
Digital Coalition,Barcelona,Spain,41.3887869,2.1589851
UnusuAll,Madrid,Spain,40.4165021,-3.7025642
IIW STUDIO,Paris,France,48.85341,2.3487999
Exceptional Minds,Los Angeles,United States,34.0522342,-118.2436829
M2 Animation,Bangkok,Thailand,13.75,100.5166702
HaloHues Studios,Chennai,India,13.0878385,80.2784729
HaloHues Studios,Hyderabad,India,17.3752778,78.4744415
Skydance New Media,Los Angeles,United States,34.0522342,-118.2436829
Studio Souza,Brussels,Belgium,50.8465975,4.3527746
MADFINGER Games,Brno,Czech Republic,49.1952227,16.6079597
Google,Los Angeles,United States,34.0522342,-118.2436829
Google,New York City,United States,40.7142691,-74.0059738
Google,San Francisco,United States,37.7749295,-122.4194183
Ringtail Interactive,Stockholm,Sweden,59.3325765,18.0649033
Lunacy Studios,Los Angeles,United States,34.0522342,-118.2436829
Jellyfish,Madrid,Spain,40.4165021,-3.7025642
Pixomondo,Stuttgart,Germany,48.7823243,9.1770172
Skeleton Key,Austin,United States,30.267153,-97.7430573
El Ranchito,Madrid,Spain,40.4165021,-3.7025642
Image Engine,Vancouver,Canada,49.2496574,-123.119339
Studio Hamburg Post Production,Hamburg,Germany,53.55,10
Picture Head,Los Angeles,United States,34.0522342,-118.2436829
NMBRS,Stockholm,Sweden,59.3325765,18.0649033
Herringbone Animation Studios,Los Angeles,United States,34.0522342,-118.2436829
Game On,Montreal,Canada,45.5167792,-73.6491776
Dark Shadow VFX,Vancouver,Canada,49.2496574,-123.119339
Smoking Gun Interactive,Vancouver,Canada,49.2496574,-123.119339
Liquid Development,Portland,United States,45.5234515,-122.6762085
SUN AND SERPENT creations,Braunschweig,Germany,52.2666667,10.5333328
Storygrounds,San Francisco,United States,37.7749295,-122.4194183
Claymore Game Studios,Darmstadt,Germany,49.8705556,8.6494446
Arrowhead Game Studios,Stockholm,Sweden,59.3325765,18.0649033
Black Shamrock,Dublin,Ireland,53.3330556,-6.248889
Red Sixteen Interactive,San Diego,United States,32.7153292,-117.1572571
Skybound Entertainment,Los Angeles,United States,34.0522342,-118.2436829
Anchor Point Studios,Barcelona,Spain,41.3887869,2.1589851
